User ID,Organization ID,Organization Type,Country,State,NGSS Status,Grade level,Sign up date,Activation date,Full Trial expiry date,Quote created?
882038,352451,School,United States,Georgia,,1,2015-08-15,2015-08-15,2017-06-30,False
882991,393782,School,United States,Arizona,,,2015-08-30,2015-08-30,2016-06-30,False
883519,385210,School,United States,Texas,no,1,2017-09-18,,,False
883520,385210,School,United States,Texas,,1,2015-08-18,,2017-06-30,False
883680,373422,School,United States,Illinois,,2,2015-08-14,,2016-06-30,False
884748,394537,School,United States,Nevada,,2,2015-08-16,,2016-06-30,False
884749,394537,School,United States,Nevada,yes,1,2017-09-22,,,False
884751,394537,School,United States,Nevada,,3,2015-08-17,2016-03-15,2016-06-30,False
885154,1291,School,United States,Tennessee,,5,2015-08-15,2015-08-15,2016-06-30,False
885156,1291,School,United States,Tennessee,,,2015-08-15,2016-02-10,2016-06-30,False
885606,28994,School,United States,Florida,,,2015-08-15,2015-08-29,2016-06-30,False
885723,391734,School,United States,Utah,,Upper,2015-08-16,2015-08-16,2016-06-30,False
885996,364057,School,United States,Indiana,no,"K, 1, 2, 3, 4",2018-01-26,,,False
888168,1291,School,United States,Tennessee,,4,2015-08-15,2015-08-15,2016-06-30,True
888427,1291,School,United States,Kentucky,,,2015-08-15,2015-08-28,2016-06-30,False
889277,373230,School,United States,Illinois,,,2015-08-19,,2016-06-30,False
891273,346271,School,United States,Virginia,,,2015-08-15,2015-08-15,2016-06-30,False
891520,373230,School,United States,Illinois,,"4, 5",2015-08-15,,2016-06-30,False
894621,1082,School,United States,Utah,,Upper,2015-08-15,2015-08-15,2016-06-30,False
894751,1082,School,United States,Utah,,Upper,2015-08-15,2015-08-15,2016-06-30,False
894752,1082,School,United States,Utah,,Upper,2015-08-16,2015-10-08,2016-06-30,False
894926,1082,School,United States,Utah,no,5,2017-09-19,2017-09-24,2018-06-30,False
895452,352451,School,United States,Georgia,,3,2015-08-16,2015-08-16,2016-06-30,False
895456,352451,School,United States,Maryland,,,2015-08-16,,2016-06-30,False
895568,328603,School,United States,Oregon,,,2015-08-17,2015-08-17,2016-06-30,False
895576,373422,School,,,,,2015-08-16,,2016-06-30,False
898163,9408,School,United States,Washington,,1,2015-08-16,2015-10-19,2017-06-30,False
898343,2996,School,United States,Illinois,,2,2015-08-16,2015-08-16,2016-06-30,False
898582,352451,School,United States,Georgia,,1,2015-08-16,2015-08-16,2017-06-30,False
898670,352451,School,United States,Georgia,,4,2015-08-16,2015-11-09,2016-06-30,False
899025,22727,School,,,,5,2015-08-16,2015-08-31,2016-06-30,False
899925,28879,School,United States,Florida,,2,2015-08-17,2015-08-17,2016-06-30,False
900313,395230,School,United States,California,,1,2015-08-16,2015-08-16,2017-06-30,False
901673,391734,School,United States,Utah,,,2015-08-16,2015-08-30,2016-06-30,False
902114,353135,School,United States,Florida,,4,2015-08-17,2015-08-17,2016-06-30,False
902132,21332,School,United States,Kentucky,,,2015-08-16,2016-05-27,2017-06-30,False
903839,364617,School,United States,Indiana,,1,2015-08-17,2015-08-17,2017-06-30,False
904118,1291,School,United States,Tennessee,,4,2015-08-16,2015-08-16,2016-06-30,False
904136,1291,School,United States,Tennessee,,4,2015-08-16,2015-09-09,2016-06-30,False
905619,1291,School,United States,Tennessee,,3,2015-08-16,2016-02-10,2016-06-30,False
906059,328099,School,United States,Hawaii,,3,2015-09-02,2015-09-02,2016-06-30,False
906366,343400,School,United States,Pennsylvania,,K,2015-08-16,2015-08-16,2017-06-30,False
906906,2996,School,United States,Illinois,,2,2015-08-16,,2016-06-30,False
907222,1291,School,United States,Tennessee,,"K, 1, 2, 3, 4, 5, Upper",2015-08-16,2015-08-31,2016-06-30,False
909523,351294,School,United States,Georgia,,,2015-08-18,2015-08-18,2016-06-30,False
909526,351294,School,United States,Georgia,no,K,2017-11-09,2017-11-09,2018-06-30,False
909704,343405,School,United States,Pennsylvania,,"3, 5",2015-08-25,2015-09-14,2016-06-30,False
910069,343405,School,United States,Pennsylvania,,3,2015-08-17,2015-08-31,2016-06-30,False
910072,343405,School,United States,Pennsylvania,,"2, 3, 4, 5",2015-08-17,,2016-06-30,False
910111,2996,School,United States,Illinois,,3,2015-08-17,2015-08-17,2016-06-30,False
912416,353568,School,United States,Florida,,,2015-08-17,2015-08-24,2016-06-30,False
913633,38119,School,United States,Missouri,,"Upper, Upper",2015-08-17,2015-08-17,2016-06-30,False
914013,350969,School,United States,Georgia,,5,2015-08-17,,2016-06-30,False
914628,360846,School,United States,Ohio,,4,2015-08-17,2015-08-17,2016-06-30,False
915623,1082,School,United States,Utah,,,2015-08-17,2017-01-27,2016-06-30,False
916281,2996,School,United States,Illinois,,4,2015-08-18,2015-08-18,2016-06-30,False
916890,393079,School,United States,Arizona,,4,2016-08-11,,2017-06-30,False
917300,352451,School,United States,Georgia,,K,2015-08-17,2016-09-09,2017-06-30,False
917993,1082,School,United States,Utah,,3,2015-08-17,2015-08-17,2016-06-30,False
918002,1082,School,United States,Utah,,4,2015-08-17,2015-11-02,2016-06-30,False
918008,1082,School,United States,Utah,,4,2015-08-17,2015-08-24,2016-06-30,True
918028,1082,School,United States,Utah,not sure,3,2015-08-17,2015-08-30,2016-06-30,False
918030,1082,School,United States,Utah,,3,2015-08-17,2016-09-29,2016-06-30,False
918032,1082,School,United States,Utah,,3,2015-08-17,2015-08-17,2016-06-30,False
918039,1082,School,United States,Utah,,4,2015-08-17,2015-08-31,2016-06-30,False
918129,1082,School,United States,Utah,,2,2015-08-17,2015-08-31,2016-06-30,False
918362,1082,School,United States,Utah,,,2015-08-17,2015-08-17,2016-06-30,False
918593,360846,School,United States,Ohio,,1,2015-08-17,2016-09-09,2017-06-30,False
918627,1082,School,United States,Utah,not sure,2,2017-08-16,2017-08-22,2018-06-30,False
918686,1082,School,United States,Utah,,1,2015-08-17,,2017-06-30,False
918920,1082,School,United States,Utah,,5,2015-08-17,2015-08-17,2016-06-30,False
918977,360846,School,United States,Ohio,,3,2015-08-17,2015-08-17,2016-06-30,False
919920,1082,School,United States,Utah,,,2015-08-17,2015-09-06,2016-06-30,False
921355,356398,School,United States,Alabama,,,2015-08-18,2015-08-19,2016-06-30,False
921525,393079,School,United States,Arizona,,,2015-08-17,,2016-06-30,False
921534,373773,School,United States,Illinois,,K,2015-08-17,,2017-06-30,False
921535,373773,School,United States,Illinois,yes,"K, 1, 2, 3, 4, 5",2016-09-27,2016-09-27,2017-06-30,False
921540,373773,School,United States,Illinois,,2,2015-08-17,2015-08-17,2016-06-30,False
921598,393079,School,United States,Arizona,,3,2015-08-17,2015-08-17,2016-06-30,False
921666,393079,School,United States,Arizona,,,2015-08-17,,2016-06-30,False
921811,381850,School,,,,1,2015-08-23,2017-07-13,2017-06-30,False
923138,10095,School,United States,Michigan,,,2015-08-18,2015-11-10,2016-06-30,False
923414,381850,School,United States,Arkansas,,,2015-08-17,2015-09-01,2016-06-30,True
923663,362574,School,,,,,2015-08-17,2015-08-19,2016-06-30,False
925491,348297,School,United States,North Carolina,,3,2015-08-18,2015-08-18,2016-06-30,False
928695,353135,School,United States,Florida,,,2015-09-13,2015-09-30,2016-06-30,False
928697,353135,School,United States,Florida,,3,2015-08-20,2015-08-20,2016-06-30,False
928930,351294,School,United States,Georgia,,2,2015-09-28,2015-09-28,2016-06-30,False
929904,345365,School,United States,Maryland,,,2015-08-18,2015-10-18,2016-06-30,False
930042,348297,School,United States,North Carolina,not sure,3,2017-08-22,,,False
931871,392483,School,United States,Arizona,,4,2015-08-18,2015-08-26,2016-06-30,False
932145,373789,School,United States,Illinois,,1,2015-08-18,2015-08-18,2017-06-30,False
935186,392483,School,United States,Arizona,,5,2015-08-18,,2016-06-30,False
936027,351253,School,United States,Georgia,,,2015-08-18,,2016-06-30,False
936135,383527,School,United States,Texas,,3,2015-08-18,2017-02-09,2016-06-30,False
938005,364617,School,United States,Indiana,,"K, 5",2015-08-18,,2016-06-30,False
939405,391918,School,United States,Utah,,4,2015-08-18,2015-11-03,2016-06-30,False
939838,373789,School,United States,Illinois,,,2015-08-19,,2016-06-30,False
940100,373789,School,United States,Illinois,,3,2015-08-18,2015-08-18,2016-06-30,False
940103,391918,School,United States,Utah,,3,2015-08-18,2015-08-26,2016-06-30,False
940913,343366,School,,,,4,2015-08-18,2015-08-18,2016-06-30,False
941081,351253,School,United States,Georgia,,1,2015-08-18,,2017-06-30,False
941082,351253,School,United States,Georgia,,1,2015-08-18,2015-09-20,2017-06-30,False
941317,2996,School,United States,Illinois,,5,2015-08-19,2015-08-21,2016-06-30,False
941318,2996,School,United States,Illinois,,5,2017-08-18,2017-08-18,2018-06-30,False
941347,353135,School,United States,Florida,,1,2015-08-18,2015-11-09,2017-06-30,False
941683,343392,School,United States,Pennsylvania,,3,2015-08-18,2015-08-18,2016-06-30,False
945234,351253,School,United States,Georgia,,K,2015-08-19,,2017-06-30,False
946523,1849,School,United States,Utah,,"K, 1, 2, 3, 4, 5, Upper, Upper, Upper",2015-08-19,2015-09-02,2016-06-30,True
949071,328099,School,United States,Hawaii,,2,2015-08-19,,2016-06-30,False
952497,348994,School,United States,North Carolina,,5,2015-08-19,2015-09-14,2016-06-30,False
953135,343366,School,United States,Pennsylvania,,1,2015-08-19,2015-09-19,2017-06-30,False
953218,353656,School,United States,Georgia,,,2015-08-19,2015-08-19,2016-06-30,False
954282,350558,School,United States,South Carolina,,5,2015-08-19,2015-09-08,2016-06-30,False
954474,343366,School,,,,2,2015-08-19,2015-09-14,2016-06-30,False
954989,350915,School,United States,Georgia,,,2015-08-19,2015-08-19,2016-06-30,False
955185,348515,School,United States,North Carolina,,"Upper, Upper, Upper, Upper",2015-08-19,2015-08-22,2016-06-30,False
955242,2133,School,United States,Kentucky,,,2015-08-20,2015-08-28,2016-06-30,True
955250,348515,School,United States,North Carolina,,"Upper, Upper",2015-08-19,2015-08-19,2016-06-30,False
955916,392011,School,United States,Utah,,"Upper, Upper",2015-08-19,,2016-06-30,False
956858,1969,School,United States,Arizona,,2,2015-08-19,2015-09-14,2016-06-30,False
957286,1969,School,United States,Arizona,,3,2015-08-19,2015-09-16,2016-06-30,False
957620,1969,School,United States,Arizona,,"K, 1, 2, 3, 4, 5, Upper, Upper, Upper",2015-08-19,2015-08-19,2016-06-30,False
958153,362574,School,United States,Ohio,,4,2015-08-23,2015-08-23,2016-06-30,False
958154,362574,School,United States,Ohio,,3,2015-08-27,2015-09-03,2016-06-30,False
959450,356398,School,United States,Alabama,,2,2015-08-19,2015-08-19,2016-06-30,False
959452,356398,School,United States,Alabama,,"K, 1, 2",2015-08-19,2015-08-19,2016-06-30,False
959662,356398,School,United States,Alabama,,2,2015-08-24,2015-08-24,2016-06-30,False
959868,1969,School,United States,Arizona,,,2015-08-19,2015-08-26,2016-06-30,False
959927,356398,School,United States,Alabama,,2,2015-08-19,2015-10-21,2016-06-30,False
960405,356398,School,United States,Alabama,,2,2015-08-19,2015-08-19,2016-06-30,False
960943,1969,School,United States,Arizona,,2,2015-08-19,2016-06-15,2017-06-30,False
962070,395405,School,United States,California,,,2015-08-19,2015-08-27,2016-06-30,False
962333,385442,School,United States,Texas,,3,2015-08-19,2015-08-19,2016-06-30,False
964766,360043,School,United States,Kentucky,,3,2015-08-19,2015-08-27,2016-06-30,False
964768,360043,School,United States,Kentucky,,3,2015-08-19,2015-08-19,2016-06-30,False
964813,343405,School,United States,Pennsylvania,,3,2015-09-02,2015-09-02,2016-06-30,False
964894,343405,School,United States,Pennsylvania,,3,2015-08-24,2015-09-09,2016-06-30,False
964917,12529,School,United States,Ohio,,Upper,2015-08-23,2015-08-23,2016-06-30,False
964965,343405,School,United States,Pennsylvania,,4,2015-08-19,2015-08-19,2016-06-30,False
965001,350557,School,United States,South Carolina,,2,2015-08-19,2015-08-19,2016-06-30,False
965029,360043,School,United States,Kentucky,,K,2015-08-19,2015-08-19,2017-06-30,False
965152,352209,School,United States,Georgia,,2,2015-08-19,2015-08-26,2016-06-30,False
966126,352209,School,United States,Georgia,,4,2015-08-19,2015-08-19,2016-06-30,False
966295,352209,School,United States,Georgia,no,5,2017-08-21,2017-08-21,2018-06-30,False
966480,343405,School,United States,Pennsylvania,,4,2015-08-19,,2016-06-30,False
966481,343405,School,United States,Pennsylvania,,4,2015-08-19,2015-08-19,2016-06-30,False
967090,352209,School,United States,Georgia,no,1,2017-08-21,2017-08-21,2018-06-30,False
968477,352209,School,United States,Georgia,,1,2015-08-19,2015-08-19,2017-06-30,False
968482,350915,School,United States,Georgia,,5,2015-08-19,,2016-06-30,False
968490,350557,School,United States,South Carolina,,,2015-08-20,2015-09-21,2016-06-30,False
968491,350557,School,United States,South Carolina,not sure,1,2017-09-15,2018-02-08,2018-06-30,False
968819,362574,School,United States,Ohio,,K,2015-08-19,2015-09-20,2017-06-30,False
968921,351294,School,United States,Georgia,,4,2015-08-20,2015-08-20,2016-06-30,False
968964,351294,School,United States,Georgia,,3,2015-08-19,2015-08-27,2016-06-30,False
969067,1969,School,United States,Arizona,,4,2015-08-19,2015-08-19,2016-06-30,False
970240,343405,School,United States,Pennsylvania,,K,2015-08-19,2015-09-20,2017-06-30,False
970273,352209,School,United States,Pennsylvania,,2,2015-08-19,2015-09-13,2016-06-30,False
972276,2897,School,United States,Wisconsin,,2,2015-08-20,2015-08-27,2016-06-30,True
972278,2897,School,United States,Indiana,,,2015-08-20,2015-08-27,2016-06-30,False
972936,357338,School,United States,Alabama,,4,2015-08-21,,2016-06-30,False
973026,348419,School,United States,North Carolina,,3,2015-08-19,2015-08-19,2016-06-30,False
974756,350558,School,United States,South Carolina,,"K, 1, 2, 3, 4, 5",2015-08-21,,2016-06-30,False
976404,352263,School,United States,Georgia,,,2015-08-20,2015-08-20,2016-06-30,False
976844,2897,School,United States,Illinois,,,2015-08-20,2015-08-20,2016-06-30,False
976900,2897,School,United States,Indiana,,5,2015-08-20,2015-08-20,2016-06-30,False
976904,2897,School,United States,Indiana,,3,2015-08-20,2015-08-20,2016-06-30,False
976905,2897,School,United States,Indiana,,,2015-08-20,2015-08-20,2016-06-30,False
977197,352279,School,United States,Georgia,no,4,2017-08-17,,,False
977344,2897,School,United States,Indiana,,4,2015-08-21,2015-08-21,2016-06-30,False
977520,351294,School,United States,Georgia,,"K, 1, 2, 3, 4, 5",2015-08-20,2015-08-20,2018-06-30,False
978181,875,School,,,,4,2015-08-20,2015-09-21,2016-06-30,False
978516,350557,School,United States,South Carolina,,3,2015-08-20,2015-08-20,2016-06-30,False
978530,350557,School,United States,South Carolina,,5,2015-08-20,,2016-06-30,False
978532,350557,School,United States,South Carolina,,3,2015-08-20,2015-08-20,2016-06-30,False
978534,350557,School,United States,South Carolina,,3,2015-08-20,,2016-06-30,False
979306,351294,School,United States,Georgia,yes,5,2017-08-21,,,False
982587,347961,School,United States,North Carolina,,4,2015-08-22,,2016-06-30,False
983502,332665,School,United States,Massachusetts,,,2015-08-20,2015-09-09,2016-06-30,False
983649,1082,School,United States,Utah,,,2015-08-20,2015-09-10,2016-06-30,False
983850,334141,School,United States,Massachusetts,,4,2015-08-21,2015-08-21,2016-06-30,False
984097,2897,School,United States,Indiana,,"K, 1, 2, 3",2015-08-20,2015-09-03,2016-06-30,False
984163,2897,School,United States,Indiana,,,2015-08-20,2015-09-09,2016-06-30,False
987162,380437,School,,,,1,2015-08-20,2015-08-20,2017-06-30,False
988503,343405,School,United States,Pennsylvania,,5,2015-09-02,2015-12-08,2016-06-30,False
990231,1969,School,United States,Arizona,,K,2015-08-20,,2017-06-30,False
992605,380437,School,United States,Louisiana,,4,2015-08-21,2015-09-13,2016-06-30,False
992606,380437,School,United States,Louisiana,,,2015-08-21,2015-10-11,2016-06-30,False
993595,351598,School,United States,Georgia,,,2015-08-21,2015-08-21,2016-06-30,False
993912,356494,School,United States,Alabama,,"3, 5",2015-08-21,,2016-06-30,False
995526,357338,School,United States,Alabama,,"3, Upper",2015-08-21,2015-08-21,2016-06-30,False
996615,364159,School,United States,Indiana,,4,2015-08-21,2015-08-23,2016-06-30,False
996638,357338,School,United States,Alabama,,3,2015-08-21,2015-08-28,2016-06-30,False
996639,357338,School,United States,Alabama,,"3, 5",2015-08-21,2015-11-09,2016-06-30,False
996641,357338,School,United States,Alabama,,4,2015-08-21,2015-08-28,2016-06-30,False
996644,357338,School,United States,Alabama,,,2015-08-25,2015-09-02,2016-06-30,False
996825,352451,School,United States,Georgia,,5,2015-08-21,2015-08-21,2016-06-30,False
997601,348297,School,United States,North Carolina,no,"Pre, K, 1",2017-03-29,2017-03-29,2017-06-30,False
997826,2996,School,United States,Illinois,,2,2015-08-25,2015-09-01,2016-06-30,False
998341,334141,School,United States,Vermont,,4,2015-08-21,2015-11-13,2016-06-30,False
998780,348994,School,United States,North Carolina,,4,2015-08-23,2015-09-23,2016-06-30,False
999306,2897,School,United States,Indiana,,4,2015-08-25,2015-09-09,2016-06-30,False
999309,2897,School,United States,Indiana,no,1,2017-10-15,2017-10-22,2018-06-30,False
999804,391918,School,United States,Utah,,5,2015-08-21,2017-01-30,2016-06-30,False
1000440,360043,School,United States,Kentucky,,2,2015-08-22,2015-08-22,2016-06-30,False
1000441,359933,School,United States,Kentucky,transitioning,3,2017-08-17,2017-08-17,2018-06-30,False
1000675,391908,School,United States,Utah,,4,2015-11-02,,2016-06-30,False
1000963,1969,School,United States,Arizona,not sure,2,2016-06-15,2016-06-15,2017-06-30,False
1002032,341859,School,United States,Pennsylvania,,4,2015-08-26,2015-08-26,2016-06-30,False
1002852,351324,School,United States,Georgia,not sure,1,2016-12-15,2016-12-15,2018-06-30,False
1006569,385467,School,United States,Texas,,5,2015-08-22,2015-08-22,2016-06-30,False
1008053,1969,School,United States,Arizona,,5,2015-08-22,2015-08-29,2016-06-30,False
1008135,351598,School,United States,Georgia,,5,2015-08-22,2015-08-22,2016-06-30,False
1008150,352279,School,United States,Georgia,,3,2015-08-23,2015-09-14,2016-06-30,False
1008151,352279,School,United States,Georgia,,1,2015-08-23,2015-08-23,2017-06-30,False
1008380,350647,School,United States,South Carolina,not sure,4,2015-08-24,2015-09-16,2016-06-30,False
1009238,350172,School,,,no,3,2016-01-27,2016-01-27,2016-06-30,False
1009262,350172,School,,,,,2015-09-24,2015-10-29,2016-06-30,False
